,title,isbn,jan,author,description
0,独習Python,9784798163642,,山田祥寛,手を動かしておぼえるPythonプログラミング ――独学に最適な“標準教科書” プログラミングの初学者に向けた独習シリーズに『独習Python』が新登場。 プログラミング言語入門書の執筆で定評のある山田祥寛氏による、 Python入門書の決定版です。 独習シリーズの強みである、手を動かしておぼえる（書いて実行して結果を確認する） 特長を生かし、Pythonの基本的な言語仕様から、標準ライブラリ、ユーザー定義関数、 オブジェクト指向構文、モジュールまで、サンプルプログラムを例示しながら 詳細かつ丁寧に解説します。 プログラミングの基礎知識がない方でも、解説→例題（サンプル）→理解度チェック という3つのステップで、Pythonでプログラミングを行う際に必要な知識・概念・機能を 体系的に習得できます。 プログラミングの入門者、これからPythonで開発を始めたい初学者から、再入門者、 学生・ホビープログラマまで、「一からPython言語を学びたい」「Pythonプログラミング の基本をしっかり身につけたい」という方におすすめの一冊です。 シリーズをもっと見る
1,たのしいプログラミング　Pythonではじめよう！,9784274069444,,Jason R. Briggs,プログラミングってこんなに楽しい！ 「いつかはプログラミングしたい！ でも私には難しそう……」と二の足を踏んでいる方。 「プログラミングできたら便利！ でも勉強するのはつまらない……」と敬遠している方。 「プログラミングできたらかっこいい！ でも作りたいアプリとかない……」とあきらめている方。 世界中で大人気の小難しくないプログラミング言語Pythonなら、覚えることも最小限。この本を読んで、楽しいプログラミングの世界に飛び込んでみましょう！ 面白い例題やパズルを楽しみながら、愉快でカラフルなイラストと一緒にかっこいいプログラミングを学ぶことができます。 本書は、“Python for Kids：A Playful Introduction to Programming”を翻訳したものです。 訳者まえがき はじめに 第I部 プログラムの作り方 第1章 ニョロニョロしない蛇もいるんですよ 1.1 「言語」とコンピューター 1.2 Pythonをインストールしよう 1.3 Pythonのインストールが終わったら 1.4 プログラムを保存する方法 1.5 この章でわかったこと 第2章 計算と変数 2.1 Pythonで計算をしてみる 2.2 変数は荷札みたい 2.3 変数を使いこなす 2.4 この章でわかったこと 第3章 文字列、リスト、タプル、そして辞書 3.1 文字列 3.2 文字列よりも強力な「リスト」 3.3 タプル 3.4 Pythonの辞書で言葉の意味は探せません 3.5 この章でわかったこと 3.6 自分でやってみよう 第4章 カメさんでお絵かき 4.1 Pythonのturtleモジュールを使う 4.2 この章でわかったこと 4.3 自分でやってみよう 第5章 質問なら「if」と「else」におまかせ 5.1 if 文 5.2 ifとelseの組み合わせ 5.3 if と elif 文 5.4 条件をつなげる 5.5 値のない変数とNone 5.6 文字列と数値の違い 5.7 この章でわかったこと 5.8 自分でやってみよう 第6章 くるくるまわれ！ 6.1 forループを使ってみる 6.2 繰り返しをするための他の方法 6.3 この章でわかったこと 6.4 自分でやってみよう 第7章 関数とモジュールを使ってプログラムを再利用 7.1 関数の使い方 7.2 モジュールを使う 7.3 この章でわかったこと 7.4 自分でやってみよう 第8章 クラスとオブジェクトの使い方 8.1 モノをクラスに当てはめる 8.2 クラスとオブジェクトの便利な機能 8.3 オブジェクトを初期化する 8.4 この章でわかったこと 8.5 自分でやってみよう 第9章 Pythonの組み込み関数 9.1 組み込み関数を使う 9.2 ファイルを使う 9.3 この章でわかったこと 9.4 自分でやってみよう 第10章 便利に使えるモジュールたち 10.1 copyモジュールを使ってコピーを作る 10.2 keywordでキーワード？ 10.3 randomのラは乱数のラ 10.4 sysモジュールでPythonシェルを操作 10.5 timeモジュールで時間を操作 10.6 pickleで情報を漬け物に 10.7 この章でわかったこと 10.8 自分でやってみよう 第11章 カメさんでもっとお絵かき 11.1 最初は簡単な四角形から 11.2 星形を描いてみる 11.3 図形だけ？絵も描けるよ 11.4 いろいろな「いろ」 11.5 関数で正方形 11.6 色つき正方形も関数で 11.7 星に色をつけて本物っぽく 11.8 この章でわかったこと 11.9 自分でやってみよう 第12章 tkinterでもっとすごいグラフィックス 12.1 ボタンを作ろう 12.2 超便利なキーワード引数 12.3 お絵かきはキャンバスの上で 12.4 線を描いてみる 12.5 四角形を描くのがこんなに簡単に 12.6 アーチを描いてみる 12.7 多角形を描いてみる 12.8 文字を書いてみる 12.9 画像を表示してみる 12.10 アニメーションを作ってみよう 12.11 リモートコントロール 12.12 識別番号って何だろう 12.13 この章でわかったこと 12.14 自分でやってみよう 第II部 Bounce!ゲーム 第13章 Bounce!ゲームを作ってみよう 13.1 跳ねるボールを打ち返せ 13.2 ゲームはキャンバスの上に 13.3 ボールはクラス 13.4 ボールよ動け！ 13.5 この章でわかったこと 第14章 Bounce!ゲームを完成させよう 14.1 ラケットを作る 14.2 ゲームのルールは？ 14.3 この章でわかったこと 14.4 自分でやってみよう 第III部 ミスター・スティックマン脱出ゲーム 第15章 ミスター・スティックマン脱出ゲームのグラフィックスを作る 15.1 ミスター・スティックマン脱出ゲームの作成計画 15.2 GIMPのインストール 15.3 ゲームの部品を作る 15.4 この章でわかったこと 第16章 ミスター・スティックマン脱出ゲームを開発する 16.1 Gameクラスを作る 16.2 座標クラスを作る 16.3 衝突を検出する 16.4 スプライトクラスを作る 16.5 床の追加 16.6 この章でわかったこと 16.7 自分でやってみよう 第17章 ミスター・スティックマンを作る 17.1 スティックマンを追加する 17.2 スティックマンの左右移動 17.3 スティックマンをジャンプさせる 17.4 ここまでに作ったもの 17.5 この章でわかったこと 第18章 ミスター・スティックマン脱出ゲームを完成させよう 18.1 スティックマンをアニメーションさせる 18.2 スティックマンを動かしてみる 18.3 ドア！ 18.4 ゲーム完成 18.5 この章でわかったこと 18.6 自分でやってみよう これからどうしよう？ 付録：Pythonのキーワード 語集 索引
2,Pythonスタートブック,4774142298,,辻真吾,"GoogleなどのWebサービスで人気のスクリプト言語「Python」は,現在の言語に共通する,美しく模範的なプログラミングの学習に最適な言語です。本書は,プログラミングの知識がゼロの方でも理解できる,いちばん簡単なPythonの学習書です。プログラミングの基本の基本から,データ型を駆使した本格プログラムまで,豊富なイラストとサンプルを使って,Pythonならではのプログラミングのノウハウを楽しく解説します。"
3,Python超入門 モンティと学ぶはじめてのプログラミング,9784274224942,,及川 えり子,"""プログラミング初心者の小中学生たちが絶賛！ 世界一わかりやすくて楽しくて思考力も使うプログラミング本、待望の初登場！ 『Python（パイソン）』は、人工知能（ＡＩ）、機械学習、データ分析、Web開発などで幅広く使われ、現在世界でもっとも人気のあるプログラミング言語の一つです。 本書で『Python』を体感して、価値ある一歩を踏み出してください！ 【本書の特徴】 1)プログラミング初心者の小学生でもわかる→プログラミング経験ゼロでも大丈夫 2)ストーリー仕立ての会話形式→スラスラと楽しく読める 3)計算・作図・ゲーム作成と幅広く学習できる 4)チェック問題やチャレンジ問題が付いているので、思考力も強化できる 【対象読者】 ・小学生プログラミング教育必修化に伴い、何を教えればいいのか悩んでいる保護者の方々、教育関係者の方々 ・本格的なプログラミングをやってみたいと考えている小中学生の方々 ・プログラミングに興味があるけど、全くの未経験で不安に思っている方々 ・プログラミングを独学しようとしたけど、挫折してしまった方々"
4,Pythonによるプログラミング,9784274223570,,小林郁夫,Pythonプログラミングの基礎が学べる!! Pythonの基礎、オブジェクト指向の考え方を学びながら、簡単なゲームプログラミングの作成まで行います。全15章でPythonプログラミングを一通り学ぶことができ、章ごとに段階を踏んで学んでいけるものです。まずはPythonの独習書として、プログラミングを学びたい方むけにおすすめです。 はじめに 第0章 プログラミングとは 0.1 プログラミングとは 0.2 高級言語 0.3 コンパイラとインタープリタ 0.4 オブジェクト指向 0.5 計算資源 0.6 ファイルの実行や分割 0.7 GUI環境 部の構成について 第1部 アクションゲームの作成演習 第1章 Pythonの実行環境 1.1 PythonとIDLE 1.2 tkinter 1.3 図形の描画 1.4 数式の表現 1.5 まとめ/チェックリスト COLUMN モデルとモデリング 第2章 アニメーションの導入 2.1 ブロック崩しゲーム 2.2 ボールと壁の要件定義 2.3 まとめ/チェックリスト COLUMN 名前による色の指定 第3章 イベントによる対話的処理 3.1 オブジェクトとメッセージング 3.2 イベントと状態 3.3 まとめ/チェックリスト COLUMN Pythonの実行環境 第4章 プログラムの拡張 4.1 衝突判定の落とし穴 4.2 終了条件と判定 4.3 ゲーム世界の拡張 4.4 内部状態の拡張 4.5 まとめ/チェックリスト COLUMN コーディング規約 第2部 オブジェクト指向プログラミング演習 第5章 クラスとモデリング 5.1 モデリングとオブジェクト 5.2 クラス 5.3 属性 5.4 オブジェクトのメソッド 5.5 インスタンス 5.6 引数を取るメソッド 5.7 コンストラクタ 5.8 まとめ/チェックリスト COLUMN C言語の構造体 第6章 集約とポリモーフィズム 6.1 オブジェクト導入の準備 6.2 集約とコンポジション 6.3 イベントハンドラメソッド 6.4 ポリモーフィズム 6.5 プロトコル 6.6 まとめ/チェックリスト COLUMN importのふたつの書き方 第7章 継承、オーバーライド 7.1 ポリモーフィズムの応用 7.2 継承 7.3 メソッドのオーバーライドとsuper関数 7.4 まとめ/チェックリスト COLUMN named argumentsとpositional arguments 第8章 リファクタリング 8.1 前半のまとめ 8.2 Pythonプログラムの書き方 8.3 初期化と設定方法 8.4 継承、コンポジションとカプセル化 8.5 動きの制御 8.6 イベントハンドラの登録 8.7 ゲームの拡張 8.8 条件判定とループ処理 8.9 まとめ/チェックリスト COLUMN クラス図 第3部 パズルゲームの作成演習 第9章 MVCによる機能の分離 9.1 マインスイーパーの導入 9.2 状態のモデル化 9.3 モデル（状態の表現） 9.4 モデル（状態の変化） 9.5 ビュー（可視化） 9.6 コントローラ（操作 9.7 MVCの分離. 9.8 まとめ/チェックリスト COLUMN 内包表記 第10章 モジュール化 10.1 「旗」機能の導入 10.2 ファイルの分割 10.3 全体のオブジェクト化 10.4 読みやすいコードを心がける 10.5 まとめ/ チェックリスト 第11章 探索アルゴリズム 11.1 グラフ 11.2 幅優先探索（Breadth First Search） 11.3 深さ優先探索（Depth First Search） 11.4 キューとスタック 11.5 再帰呼び出し（Recursive Call） 11.6 まとめ/チェックリスト 第4部 ライブラリを利用したゲーム作成演習 第12章 ライブラリの利用 12.1 Pygameとは？ COLUMN Pygameのリファレンスと、関連情報の取得 12.2 初期化と簡単な描画 12.3 Surface 12.4 blitによる画像合成と表示 12.5 Pygameのアニメーション 12.6 イベント処理 12.7 まとめ/ チェックリスト COLUMN pygameのリファレンスを読むポイント 第13章 スコープ、実体と参照 13.1 マウスイベントの処理 13.2 変数の有効範囲（スコープ） 13.3 テキストの表示 13.4 実体と参照 13.5 Deep CopyとShallow Copy 13.6 引数と参照 13.7 まとめ/チェックリスト COLUMN 「値渡し」か「参照渡し」か 第14章 SpriteとGroup 14.1 Spriteクラスを使用する準備 14.2 Spriteクラスの活用 14.3 Groupクラスの活用 14.4 仮想世界（ゲーム）のモデリング 14.5 まとめ/チェックリスト 第15章 風船割りゲーム 15.1 風船割りゲームの世界 15.2 用語の定義 15.3 モデリング 15.4 状態遷移 15.5 アニメーション設定 15.6 アイテムデザイン 15.7 物理モデル 15.8 風船割りゲームの完成 15.9 まとめ 付録A エラー図鑑 関連資料 索引
5,Hajimete no Python,4873113938,,Mark Lutz,Pythonは世界中で広く使用されているオブジェクト指向言語で、スタンドアロンプログラムにも、様々な種類のスクリプトにも利用できます。豊富な機能を備えている一方で、非常に使いやすく、無料で入手できる、ポータブルである、といった特徴も備えています。本書は、プログラミングそのものが初めての人から、他の言語で経験を積んでいる人まで、どちらの人にもPythonという言語の基本を比較的短い時間で学べるように作られています。本書を読めば、どのような種類のアプリケーションを作るにしても、必要な知識や技術が十分に身に付くようになっています。第3版はPython言語の変化への対応を中心に改訂され、Python3.0を含めた新しいバージョンでの変更点についての解説を加えるとともに、将来新しいバージョンへ移行する際に役立つ情報も盛り込みました。Pythonの基礎を余すところなく解説するPython入門書の決定版です。
6,しんせつなPythonﾌﾟﾛｸﾞﾗﾐﾝｸﾞ超初心者が初心者になるための本,9784798048055,,とおやまただし,パソコンで文字を打てる人なら誰でも理解できる!学ぶための前提知識が必要のないプログラミング本。
7,Pythonﾌﾟﾛﾌｪｯｼｮﾅﾙﾌﾟﾛｸﾞﾗﾐﾝｸﾞ第3版,9784798053820,,ビープラウド,第2版を全面改訂。バージョン管理システムGit/GitHub、CIツールCircleCI、機械学習の章を新たに追加。
8,Python ゼロからはじめるプログラミング,9784798169460,,三谷 純,プログラミング入門書のロングセラー、 プログラミング学習シリーズにPythonが新登場！ 基本文法からクラス、メソッドの使い方・作り方まで しっかり学ぼう！ 本書は、現在もっとも幅広く使われているプログラミング言語の1つ 「Python」がはじめてという初心者を対象に、文法やプログラムの基本知識を わかりやすく丁寧に教える入門書です。 これまで筆者が数多くの学生に対してプログラミングの授業をしてきた経験を 活かし、プログラミング初学者が「Python言語を通してプログラミングを学ぶ」 というコンセプトで、文法やプログラミングの基礎知識についてやさしく解説します。 Pythonでプログラミングをはじめたい学生や新人エンジニアにも最適な一冊です。 変数やif文による条件分岐、for文やwhile文を使った繰り返しから、 クラスやメソッドの使い方、作り方まで、つまずきやすいところを ケアしながら解説します。 サンプルプログラムは短くてシンプルなものを選び、何をしているのかが よくわかるように、コメントをしっかりつけました。 章の最後には練習問題があり、力試しもできます。 ・何から学習すれば良いかわからない ・Pythonをはじめて学ぶ・あらためて基本から学びたい ・現場で通用する基礎を身につけたい という方におすすめの1冊です。 ★本書を授業などで教科書として活用していただくことを前提に作成した 学習教材（スライド等）を提供しています。詳細は本書の奥付をご覧ください。
9,Pythonによる機械学習入門,9784274219634,,株式会社システム計画研究所,初心者でもPythonを用いて機械学習が実装できる！ 本書は、今後ますますの発展が予想される人工知能の技術のうち機械学習について、入門的知識から実践まで、できるだけ平易に解説する書籍です。「解説だけ読んでもいまひとつピンとこない」人に向け、プログラミングが容易なPythonにより実際に自分でシステムを作成することで、そのエッセンスを実践的に身につけていきます。 また、読者が段階的に理解できるよう、「導入編」「基礎編」「実践編」の三部構成となっており、特に「実践編」ではシステム計画研究所が展示会「Deep Learning実践」で実際に展示した「手形状判別」を実装します。 ★このような方におすすめ これからデータサイエンス分野で機械学習の研究を始めようとしている大学生・大学院生の参考書／機械学習技術を基礎科学や産業に応用しようとしている研究者・技術者の導入テキスト 第1部 導入編 1章 はじめに 2章 機械学習の様々な側面 第2部 基礎編 3章 分類問題 4章 回帰問題 5章 クラスタリング 第3部 実践編 6章 画像による手形状分類 7章 センサーデータによる回帰問題 第4部 付録 A Python で作る機械学習 B 線形代数のおさらいと代表的な非線形モデル
